,Register Page,JPEG number,Number,Letter,CertMonth,CertDay,CertYear,First name,Last name,Title,DueMonth,DueDay,DueYear,Dollars,90th,8th,DeliveryMonth,DeliveryDay,DeliveryYear,LS?,LSnote,Notes
0,1.0,111.0,1.0,H,12.0,23.0,1783.0,Abraham,Tuckerman,Capt,1.0,16,1780.0,18.0,77.0,,1.0,27.0,1784.0,1.0,RO,
1,1.0,111.0,2.0,J,2.0,5.0,1784.0,Mary,Spicer,,9.0,15,1781.0,52.0,73.0,6.0,2.0,15.0,1784.0,1.0,RO,
2,1.0,111.0,3.0,L,2.0,18.0,1784.0,Ebenezer,White,,5.0,1,1779.0,119.0,30.0,,2.0,18.0,1784.0,1.0,RO,
3,1.0,111.0,4.0,R,2.0,28.0,1784.0,George,Olney,,9.0,19,1780.0,283.0,38.0,,3.0,10.0,1784.0,1.0,RO,
4,1.0,111.0,5.0,P,3.0,10.0,1784.0,William,Engs,,3.0,12,1782.0,216.0,71.0,2.0,3.0,10.0,1784.0,1.0,RO,
5,1.0,111.0,6.0,N,5.0,19.0,1784.0,James,Wallace,,10.0,31,1780.0,52.0,45.0,,5.0,19.0,1784.0,1.0,LO 65.193,
6,1.0,111.0,7.0,G,5.0,20.0,1784.0,Luaco,Butler,,4.0,16,1782.0,5.0,,,5.0,20.0,1784.0,1.0,662,
7,1.0,111.0,8.0,I,5.0,21.0,1784.0,Jonathan,Marsh,,4.0,16,1782.0,5.0,,,5.0,21.0,1784.0,1.0,RO,
8,1.0,111.0,9.0,L,5.0,21.0,1784.0,Jonathan,Marsh,,4.0,16,1782.0,1.0,22.0,4.0,5.0,21.0,1784.0,1.0,RO,
9,1.0,111.0,10.0,H,5.0,21.0,1784.0,Jonathan,Marsh,,4.0,16,1782.0,1.0,22.0,4.0,5.0,21.0,1784.0,1.0,RO,
10,1.0,111.0,11.0,N,5.0,21.0,1784.0,Jonathan,Marsh,,4.0,16,1782.0,5.0,,,5.0,21.0,1784.0,1.0,RO,
11,1.0,111.0,12.0,R,5.0,21.0,1784.0,Jonathan,Marsh,,4.0,16,1782.0,5.0,,,5.0,21.0,1784.0,1.0,RO,
12,1.0,111.0,13.0,P,5.0,22.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,22.0,1784.0,1.0,LO 128.375,
13,1.0,111.0,14.0,B,5.0,22.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,22.0,1784.0,1.0,LO 128.375,
14,1.0,111.0,15.0,C,5.0,22.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,5.0,,,5.0,22.0,1784.0,1.0,LO 128.375,
15,1.0,111.0,16.0,A,5.0,22.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,22.0,1784.0,1.0,LO 128.375,
16,1.0,111.0,17.0,E,5.0,22.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,22.0,1784.0,1.0,LO 128.375,
17,1.0,111.0,18.0,D,5.0,22.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,22.0,1784.0,1.0,LO 128.375,
18,1.0,111.0,19.0,D,5.0,24.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,5.0,,,5.0,24.0,1784.0,1.0,LO 128.375,
19,1.0,111.0,20.0,C,5.0,24.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,24.0,1784.0,1.0,LO 128.375,
20,,,,,,,,,,,,,,783.0,65.0,0.0,,,,,,
21,2.0,112.0,21.0,A,5.0,24.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,5.0,,,5.0,24.0,1784.0,1.0,LO 128.375,
22,2.0,112.0,22.0,E,5.0,24.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,24.0,1784.0,1.0,LO 128.375,
23,2.0,112.0,23.0,G,5.0,24.0,1784.0,Enoch,Hazard,,4.0,16,1782.0,1.0,22.0,4.0,5.0,24.0,1784.0,1.0,LO 128.375,
24,2.0,112.0,24.0,H,5.0,25.0,1784.0,Benjamin,Ellery,Esq,4.0,16,1782.0,5.0,,,5.0,25.0,1784.0,1.0,LO 92.221,
25,2.0,112.0,25.0,I,5.0,25.0,1784.0,Benjamin,Ellery,Esq,4.0,16,1782.0,1.0,22.0,4.0,5.0,25.0,1784.0,1.0,LO 92.221,
26,2.0,112.0,26.0,R,5.0,25.0,1784.0,Benjamin,Ellery,Esq,4.0,16,1782.0,1.0,22.0,4.0,5.0,25.0,1784.0,1.0,LO 92.221,
27,2.0,112.0,27.0,N,5.0,25.0,1784.0,Benjamin,Ellery,Esq,4.0,16,1782.0,1.0,22.0,4.0,5.0,25.0,1784.0,1.0,LO 92.221,
28,2.0,112.0,28.0,P,5.0,25.0,1784.0,Benjamin,Ellery,Esq,4.0,16,1782.0,1.0,22.0,4.0,5.0,25.0,1784.0,1.0,LO 92.221,
29,2.0,112.0,29.0,E,5.0,26.0,1784.0,Timothy,Gladding,,4.0,16,1782.0,1.0,22.0,4.0,5.0,26.0,1784.0,1.0,123,
30,2.0,112.0,30.0,G,5.0,26.0,1784.0,Dorothy,Sabin,,4.0,16,1782.0,5.0,,,5.0,26.0,1784.0,1.0,LO 57.164,
31,2.0,112.0,31.0,D,5.0,26.0,1784.0,Dorothy,Sabin,,4.0,16,1782.0,625.0,,,5.0,26.0,1784.0,1.0,LO 57.164,
32,2.0,112.0,32.0,C,5.0,27.0,1784.0,Ralph,Merry,,4.0,16,1782.0,5.0,,,5.0,27.0,1784.0,1.0,LO 30.108,
33,2.0,112.0,33.0,B,5.0,28.0,1784.0,Thomas,Angell,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,1.0,1237,
34,2.0,112.0,34.0,A,5.0,28.0,1784.0,Betsey,Nightingale,,4.0,16,1782.0,5.0,,,5.0,28.0,1784.0,,RO,
35,2.0,112.0,35.0,P,5.0,28.0,1784.0,Clark &,Nightingale,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,,RO,Name not sure
36,2.0,112.0,36.0,P,5.0,28.0,1784.0,Clark &,Nightingale,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,,RO,
37,2.0,112.0,37.0,N,5.0,28.0,1784.0,Clark &,Nightingale,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,,RO,
38,2.0,112.0,38.0,I,5.0,28.0,1784.0,Clark &,Nightingale,,4.0,16,1782.0,7.0,45.0,,5.0,28.0,1784.0,,RO,
39,2.0,112.0,39.0,H,5.0,28.0,1784.0,Clark &,Nightingale,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,,RO,
40,2.0,112.0,40.0,L,5.0,28.0,1784.0,Clark &,Nightingale,,4.0,16,1782.0,5.0,,,5.0,28.0,1784.0,,RO,
41,2.0,112.0,41.0,E,5.0,28.0,1784.0,Betsey,Nightingale,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,,RO,
42,2.0,112.0,42.0,D,5.0,28.0,1784.0,Jack and Polly,Nightingale,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,,RO,Two Name present
43,2.0,112.0,43.0,G,5.0,28.0,1784.0,Jack and Polly,Nightingale,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,,RO,Two Name present
44,2.0,112.0,44.0,B,5.0,28.0,1784.0,Henry,Alexander,,4.0,16,1782.0,1.0,22.0,4.0,5.0,28.0,1784.0,1.0,933,
45,2.0,112.0,45.0,A,5.0,28.0,1784.0,Henry,Alexander,,4.0,16,1782.0,5.0,,,5.0,28.0,1784.0,1.0,LO 57.180,
46,,,,,,,,,,,,,,1471.0,20.0,0.0,,,,,,
47,3.0,113.0,46.0,L,6.0,8.0,1784.0,Matthew,Manchester,,1.0,1,1782.0,1432.0,36.0,2.0,6.0,24.0,1784.0,1.0,RO 6487,
48,3.0,113.0,47.0,B,6.0,8.0,1784.0,Richard,Fenner,Jun,1.0,1,1782.0,397.0,7.0,4.0,8.0,12.0,1784.0,1.0,RO 6487,
49,3.0,113.0,48.0,C,6.0,8.0,1784.0,William,Tyler,,1.0,10,1782.0,315.0,40.0,,12.0,1.0,1784.0,1.0,RO 6487,
50,3.0,113.0,49.0,I,6.0,8.0,1784.0,Comfort,Slack,,1.0,1,1782.0,305.0,31.0,2.0,6.0,24.0,1784.0,1.0,Lo 92.269,
51,3.0,113.0,50.0,L,6.0,8.0,1784.0,Abraham,Willson,,1.0,1,1782.0,294.0,22.0,4.0,12.0,20.0,1785.0,1.0,RO 6487,
52,3.0,113.0,51.0,H,6.0,9.0,1784.0,Thomas,Parker,,1.0,1,1782.0,228.0,33.0,6.0,7.0,26.0,1784.0,1.0,RO 6487,
53,3.0,113.0,52.0,P,6.0,9.0,1784.0,Andrew,Craige,,1.0,1,1782.0,155.0,36.0,2.0,6.0,16.0,1784.0,1.0,RO 6487,
54,3.0,113.0,53.0,N,6.0,9.0,1784.0,William,Love,,1.0,1,1782.0,143.0,82.0,4.0,10.0,28.0,1785.0,1.0,RO 6487,
55,3.0,113.0,54.0,R,6.0,9.0,1784.0,Samuel,Parker,,1.0,1,1782.0,116.0,68.0,6.0,5.0,7.0,1785.0,1.0,RO 6487,
56,3.0,113.0,55.0,B,6.0,9.0,1784.0,Moses ,Blanchard,,1.0,1,1782.0,75.0,48.0,6.0,,,,,,"Not to be delivered; being made out in consequcnce of live certificates of Benj Bourne late A2 M in their favour, given this a mistake"
