,RegisterPage,JPEGNum,EntryNum,Title,First Name,Last Name,City,Occupation,drYear,drMonth,drDay,drNo,drTitle,drFirst,drLast,drNo2,DollarAmt,CentAmt,crYear,crMonth,crDay,crNo,crTitle,crFirst,crLast,crNo2,crDollarAmt,crCentAmt,Note,Unnamed: 29
0,1.0,14.0,1.0,,Israel,Bowen,Coventry,Esquire,,,,,,,,,,,1792.0,1.0,1.0,1,,Funded Daferred Stock Assum Debt,,2,123.0,87.0,,
1,1.0,14.0,2.0,,Caleb,Carpenter,Rehoboth,Yeoman,1792.0,5.0,11.0,,,Thomas,Dickason,96.0,6.0,7.0,1792.0,1.0,1.0,2,,Funded Daferred Stock Assum Debt,,2,6.0,7.0,,
2,1.0,14.0,3.0,,William,Greene,Warwick,Esquire,,,,,,,,,,,1792.0,1.0,1.0,3,,Funded Daferred Stock Assum Debt,,2,169.0,12.0,,
3,2.0,15.0,4.0,,Anne,Smith,Providence,Widow,,,,,,,,,,,1792.0,1.0,1.0,4,,Funded Daferred Stock Assum Debt,,3,25.0,32.0,,
4,2.0,15.0,5.0,,Richard,Waterman,Coventry,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,5,,Funded Daferred Stock Assum Debt,,3,235.0,40.0,,
5,2.0,15.0,6.0,,Caleb,Vaughan,Coventry,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,6,,Funded Daferred Stock Assum Debt,,3,19.0,25.0,,
6,3.0,16.0,7.0,,William,Bradford,Bristol,Esquire,1792.0,7.0,20.0,,,Moses,Brown,36.0,356.0,32.0,1792.0,1.0,,7,,Funded Daferred Stock Assum Debt,,4,356.0,32.0,,
7,3.0,16.0,8.0,,Nathan,Relph,Scituate,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,8,,Funded Daferred Stock Assum Debt,,,4.0,39.0,,
8,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,1.0,1.0,9,,Funded Daferred Stock Assum Debt,,,165.0,73.0,,
9,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,9.0,1.0,9,,Mary,Dexter,311,3.0,47.0,,
10,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,Jeremiah,Jenckes,,1.0,32.0,,
11,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,9.0,14.0,9,,George,Shove,315,2.0,77.0,,
12,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,,,,173.0,29.0,,
13,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,10.0,22.0,9,,George,Leonard,335,1.0,62.0,,
14,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,5.0,20.0,9,,James,Manning ,483,2.0,6.0,,
15,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,,,,176.0,97.0,,
16,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1794.0,2.0,18.0,9,,Sylvester,Fuller,468,5.0,93.0,,
17,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,,,,182.0,90.0,,
18,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1796.0,3.0,,4,,Aaron,Mann,623,6.0,79.0,,
19,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,Samuel,Tittle,,4.0,50.0,,
20,3.0,16.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,,,,194.0,19.0,,
21,4.0,17.0,10.0,,John,Smith,Johnston,Esquire,1793.0,8.0,1.0,,,Ephraim ,Starkweather,106.0,342.0,29.0,1792.0,1.0,1.0,10,,Funded Daferred Stock Assum Debt,,5,1135.0,96.0,,
22,4.0,17.0,10.0,,John,Smith,Johnston,Esquire,,,,,,John,Peck,,793.0,67.0,,,,,,,,,,,,
23,4.0,17.0,10.0,,John,Smith,Johnston,Esquire,,,,,,,,,1135.0,96.0,,,,,,,,,,,,
24,4.0,17.0,11.0,,Ephraim,Bowen,Providence,Physician,,,,,,,,,,,1792.0,1.0,1.0,1,,Funded Deferred Stock Assum Debt,,5,277.0,46.0,,
25,4.0,17.0,12.0,,Sarah,Remington,Cranston,Spinster,1792.0,8.0,10.0,,,Thomas,Smant,99.0,16.0,92.0,1792.0,1.0,1.0,12,,Funded Deferred Stock Assum Debt,,5,16.0,92.0,,
26,5.0,18.0,13.0,,Nathan,Waterman,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,13,,Funded Deferred Stock Assum Debt,,6,721.0,95.0,,
27,5.0,18.0,14.0,,Samuel,Atherton,Attleborough,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,14,,Funded Deferred Stock Assum Debt,,6,10.0,98.0,,
28,5.0,18.0,15.0,,James,Manning,Providence,Reverend,1793.0,5.0,20.0,,,Jabez,Bowen,3.0,2.0,6.0,1792.0,1.0,1.0,15,,Funded Deferred Stock Assum Debt,,6,2.0,6.0,,
29,6.0,19.0,16.0,,Paraclete,Tew ,Providence,Infant,1794.0,11.0,11.0,,,John,Peck,106.0,52.0,32.0,1792.0,1.0,1.0,16,,Funded Deferred Stock Assum Debt,,7,52.0,32.0,,
30,6.0,19.0,17.0,,Frelove,Greene,Newport,Widow,,,,,,,,,,,1792.0,1.0,1.0,17,,Funded Deferred Stock Assum Debt,,7,96.0,7.0,,
31,6.0,19.0,18.0,,Nicholas P.,Tillinghast,Newport,Esquire,,,,,,,,,,,1792.0,1.0,1.0,18,,Funded Deferred Stock Assum Debt,,7,14.0,73.0,,
32,7.0,20.0,19.0,,James F. Sebor and Company,,New York,Merchant,1792.0,7.0,20.0,,,Certificate No 67 Transferred to the Office of John Cochran Commissioner for the State of New York,,286.0,220.0,53.0,1792.0,1.0,1.0,19,,Funded Deferred Stock Assum Debt,,8,220.0,53.0,,
33,7.0,20.0,20.0,,Amos,Attwell,Provdence,Esquire,,,,,,,,,,,1792.0,1.0,1.0,20,,Funded Deferred Stock Assum Debt,,8,13.0,69.0,,
34,7.0,20.0,21.0,,Dolly,Sabin,Providence,Spinster,,,,,,,,,,,1792.0,1.0,1.0,21,,Funded Deferred Stock Assum Debt,,8,74.0,2.0,,
35,8.0,21.0,22.0,,Cyril,Carpenter,Foster,Physician,,,,,,,,,,,1792.0,1.0,1.0,22,,Funded Deferred Stock Assum Debt,,9,36.0,82.0,,
36,8.0,21.0,23.0,,David,Martin,Providence,Glazier,,,,,,,,,,,1792.0,1.0,1.0,23,,Funded Deferred Stock Assum Debt,,9,19.0,12.0,,
37,8.0,21.0,24.0,,William,Vernon,Newport,Gentleman,,,,,,,,,,,1792.0,1.0,1.0,24,,Funded Deferred Stock Assum Debt,,9,107.0,10.0,,
38,9.0,22.0,25.0,,Robert,Stevens,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,25,,Funded Deferred Stock Assum Debt,,10,9.0,4.0,,
39,9.0,22.0,26.0,,Clarke,Brown,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,,,Funded Deferred Stock Assum Debt,,10,,51.0,,
40,9.0,22.0,27.0,,Samuel,Bailey,Tiverton,Esquire,,,,,,,,,,,1792.0,1.0,1.0,27,,Funded Deferred Stock Assum Debt,,10,109.0,57.0,,
41,10.0,23.0,28.0,,George,Champlin,Newport,Esquire,,,,,,,,,,,1792.0,1.0,1.0,28,,Funded Deferred Stock Assum Debt,,11,84.0,65.0,,
42,10.0,23.0,29.0,,Andrew,Hamersley,New Work,Merchant,1792.0,3.0,6.0,,,Certificate No 31 Transferred to the Office of John Cochran Commissioner of Loan for the State of New York,,158.0,378.0,89.0,1792.0,1.0,1.0,29,,Funded Deferred Stock Assum Debt,,11,378.0,89.0,,
43,10.0,23.0,30.0,,Mehetable,Perkins,Newport,Widow,,,,,,,,,,,1792.0,1.0,1.0,30,,Funded Deferred Stock Assum Debt,,11,69.0,44.0,,
44,11.0,24.0,31.0,,Samuel,Fowler,Newport,Merchant,1792.0,1.0,12.0,,,Benjamin,Siexas,32.0,478.0,92.0,1792.0,1.0,1.0,31,,Funded Deferred Stock Assum Debt,,12,478.0,92.0,,
45,11.0,24.0,32.0,,James,Roberson,Newport,Merchant,,,,,,,,,,,1792.0,1.0,1.0,32,,Funded Deferred Stock Assum Debt,,12,4.0,25.0,,
46,11.0,24.0,33.0,,Henry,Merchant,Newport,Esquire,,,,,,,,,,,1792.0,1.0,1.0,33,,Funded Deferred Stock Assum Debt,,12,216.0,64.0,,
47,12.0,25.0,34.0,,Christopher,Ellery,Newport,Esquire,1792.0,5.0,1.0,,,John Ward and Company,,98.0,49.0,25.0,1792.0,1.0,1.0,34,,Funded Deferred Stock Assum Debt,,13,49.0,25.0,,
