,RegisterPage,JPEGNum,EntryNum,Title,First Name,Last Name,City,Occupation,drYear,drMonth,drDay,drNo,drTitle,drFirst,drLast,drNo2,DollarAmt,CentAmt,crYear,crMonth,crDay,crNo,crTitle,crFirst,crLast,crNo2,crDollarAmt,crCentAmt,Note
0,1.0,14.0,1.0,,Israel,Bowen,Coventry,Esquire,,,,,,,,,,,1792.0,1.0,1.0,1.0,,Funded 3 percent stock assumed debt,,2.0,185.0,81.0,
1,1.0,14.0,2.0,,Caleb,Carpenter,Rehoboth,Yeoman,1792.0,5.0,11.0,,,Thomas,Dickason,96.0,9.0,11.0,1792.0,1.0,1.0,2.0,,Funded 3 percent stock assumed debt,,2.0,9.0,11.0,
2,1.0,14.0,3.0,,William,Greene,Warwick,Esquire,1795.0,5.0,4.0,,,Samuel,Ward,599.0,253.0,68.0,1792.0,1.0,1.0,3.0,,Funded 3 percent stock assumed debt,,2.0,253.0,68.0,
3,2.0,17.0,4.0,,Anne,Smith,Providence,Widow,,,,,,,,,,,1792.0,1.0,1.0,4.0,,Funded 3 percent stock assumed debt,,3.0,37.0,98.0,
4,2.0,17.0,5.0,,Richard,Waterman,Coventry,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,5.0,,Funded 3 percent stock assumed debt,,3.0,353.0,9.0,
5,2.0,17.0,6.0,,Caleb,Vaughan,Coventry,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,6.0,,Funded 3 percent stock assumed debt,,3.0,28.0,87.0,
6,3.0,18.0,7.0,,William,Bradford,Bristol,Esquire,1792.0,3.0,14.0,,,Thomas,Vermillya,98.0,534.0,48.0,1792.0,1.0,1.0,7.0,,Funded 3 percent stock assumed debt,,4.0,534.0,48.0,
7,3.0,18.0,8.0,,Nathan,Relph,Scituate,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,8.0,,Funded 3 percent stock assumed debt,,4.0,6.0,59.0,
8,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,1792.0,1.0,16.0,,,William,Allen,95.0,29.0,13.0,1792.0,1.0,1.0,9.0,,Funded 3 percent stock assumed debt,,4.0,248.0,60.0,
9,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,Balance due from the United States,,95.0,236.0,35.0,1792.0,9.0,1.0,9.0,,Mary,Dexter,,5.0,20.0,
10,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,9.0,1.0,,,Jeremiah,Jenks,,1.0,99.0,
11,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,9.0,14.0,,,George,Shove,,4.0,16.0,
12,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,,,,259.0,95.0,
13,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,10.0,22.0,,,George,Leonard,,2.0,43.0,
14,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,11.0,20.0,,,James,Manning,,3.0,10.0,
15,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,,,,265.0,48.0,
16,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1792.0,11.0,20.0,,,Balance stock remaining on the books,,,236.0,35.0,
17,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1794.0,2.0,18.0,,,Sylvester,Fuller,,8.0,90.0,
18,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,,,,,,,,,245.0,25.0,
19,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,,,1796.0,3.0,1.0,,,Samuel,Tefft,624.0,6.0,75.0,
20,3.0,18.0,9.0,,Jabez,Bowen,Providence,Esquire,,,,,,,,,265.0,48.0,,,,,,,,,252.0,0.0,
21,4.0,19.0,10.0,,John,Smith,Johnston,Esquire,1793.0,1.0,1.0,,,Samuel Wyllys,Pumroy,105.0,1703.0,94.0,1792.0,1.0,1.0,10.0,,Funded 3 percent stock assumed debt,,5.0,1703.0,94.0,
22,4.0,19.0,11.0,,Ephraim,Bowen,Providence,Physician,,,,,,,,,,,1792.0,1.0,1.0,11.0,,Funded 3 percent stock assumed debt,,5.0,416.0,20.0,
23,4.0,19.0,12.0,,Sarah,Remington,Cranstone,Spinter,1792.0,8.0,10.0,,,Thomas,Smart,99.0,25.0,38.0,1792.0,1.0,1.0,12.0,,Funded 3 percent stock assumed debt,,5.0,25.0,38.0,
24,5.0,20.0,13.0,,Nathan,Waterman,Providence,Merchant,,,,,,,,,,,1792.0,1.0,1.0,13.0,,Funded 3 percent stock assumed debt,,6.0,1082.0,93.0,
25,5.0,20.0,14.0,,Samuel,Atherton,Auleborough,Yeoman,,,,,,,,,,,1792.0,1.0,1.0,14.0,,Funded 3 percent stock assumed debt,,6.0,16.0,46.0,
26,5.0,20.0,15.0,,James,Manning,Providence,Reverend,1793.0,11.0,20.0,,,Jabez,Bowen,3.0,3.0,10.0,1792.0,1.0,1.0,15.0,,Funded 3 percent stock assumed debt,,6.0,3.0,10.0,
27,6.0,21.0,16.0,,Paraclete,Tew,Providence,Infant,1794.0,10.0,1.0,,,Charles William,Janson,113.0,78.0,49.0,1792.0,1.0,1.0,16.0,,Funded 3 percent stock assumed debt,,7.0,78.0,49.0,
28,6.0,21.0,17.0,,Freelove,Greene,Newport,Widow,,,,,,,,,,,1792.0,1.0,1.0,16.0,,Funded 3 percent stock assumed debt,,7.0,144.0,10.0,
29,6.0,21.0,18.0,,Nicholas P,Tillinghast,Newport,Esquire,,,,,,,,,,,1792.0,1.0,1.0,18.0,,Funded 3 percent stock assumed debt,,7.0,22.0,9.0,
30,7.0,22.0,19.0,,James F,Sebor,New York,Merchant,1792.0,7.0,20.0,,,Certificate number 68 transferred to the office of John Cochran Commissioner of the State of New York,,283.0,330.0,80.0,1792.0,1.0,1.0,19.0,,Funded 3 percent stock assumed debt,,8.0,330.0,80.0,
31,7.0,22.0,21.0,,Amos,Atwell,Providence,Esquire,,,,,,,,,,,1791.0,1.0,1.0,20.0,,Funded 3 percent stock assumed debt,,8.0,20.0,54.0,
